,station_name,image_of_station,transport_connection,services,distance_from_sX_km,distance_from_sX_mi,zone,date_opened,suburb,notes
60,Elsternwick,//upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Elsternwickstation2021.jpg/100px-Elsternwickstation2021.jpg,"['tram', 'bus']",Sandringham,10.95,6.80,1,19 December 1859,Elsternwick,
61,Eltham,//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Eltham_Station.jpg/100px-Eltham_Station.jpg,['bus'],Hurstbridge,27.39,17.02,2,5 June 1902,Eltham,
62,Epping,//upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Epping_Railway_Station%2C_Melbourne.jpg/100px-Epping_Railway_Station%2C_Melbourne.jpg,['bus'],Mernda,22.82,14.18,2,23 December 1889,Epping,
63,Essendon,//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Essendon_Station_platforms_2_and_3.jpg/100px-Essendon_Station_platforms_2_and_3.jpg,"['tram', 'bus']",CraigieburnSeymour,8.01,4.98,1,1 November 1860,Essendon,
64,Fairfield,//upload.wikimedia.org/wikipedia/commons/thumb/a/af/Fairfield_Westbound_View.jpg/100px-Fairfield_Westbound_View.jpg,['bus'],Hurstbridge,9.15,5.69,1,8 May 1888,Fairfield,Formerly Fairfield Park
65,Fawkner,//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Fawkner_railway_station%2C_Melbourne.jpg/100px-Fawkner_railway_station%2C_Melbourne.jpg,['bus'],Upfield,13.23,8.22,"['1', '2\n']",8 October 1889,Hadfield,"Formerly:
Fawkner Cemetery
Fawkner"
66,Ferntree Gully,//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Ferntree_Gully2.jpg/100px-Ferntree_Gully2.jpg,['bus'],Belgrave,35.89,22.30,2,4 December 1889,Ferntree Gully,Formerly Lower Ferntree Gully. Also spelt Lower Fern Tree Gully / Fern Tree Gully
67,Flagstaff,//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flagstaff_Station_Platform_4_2017.jpg/100px-Flagstaff_Station_Platform_4_2017.jpg,['tram'],"show
11 Services
AlameinBelgraveCraigieburn
CranbourneGlen Waverley
HurstbridgeLilydaleMernda
PakenhamSunburyUpfield",1.24,0.77,1,27 May 1985,Melbourne,
68,Flemington Bridge,//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flemington_Bridge_Northbound_View.JPG/100px-Flemington_Bridge_Northbound_View.JPG,"['tram', 'bus']",Upfield,4.06,2.52,1,10 April 1885,North Melbourne,Formerly Flemington
69,Flemington Racecourse,//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Train_at_Flemington_Racecourse_railway_station%2C_Melbourne.jpg/100px-Train_at_Flemington_Racecourse_railway_station%2C_Melbourne.jpg,[],Flemington Racecourse,6.59,4.09,1,28 February 1861,Flemington,
70,Flinders Street,//upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Flinders_Street_Station_illuminated_at_night.jpg/100px-Flinders_Street_Station_illuminated_at_night.jpg,"['tram', 'bus']","show
17 Services
AlameinBelgraveCraigieburnCranbourneFlemington RacecourseFrankstonGlen WaverleyHurstbridgeLilydaleMerndaPakenhamSandringhamSunburyTraralgonUpfieldWerribeeWilliamstown",1.23,0.76,1,12 September 1854,Melbourne,Formerly Melbourne Terminus. Rebuilt in 1910
71,Footscray,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Footscray_station_signal_box_and_footbridge.jpg/100px-Footscray_station_signal_box_and_footbridge.jpg,"['tram', 'bus']","show
10 Services
AraratBallaratBendigoEchucaGeelongSunburySwan HillWarrnamboolWerribeeWilliamstown",5.62,3.49,1,24 January 1859,Footscray,"Formerly:
Footscray (Suburban) / Middle Footscray
Footscray (Main Line).
Rebuilt 24 September 1900. Upgraded in 2014"
72,Frankston,//upload.wikimedia.org/wikipedia/commons/thumb/d/db/Frankston_Station_03.jpg/100px-Frankston_Station_03.jpg,['bus'],FrankstonStony Point,43.92,27.29,2,1 August 1882,Frankston,Upgraded in 2018
73,Gardenvale,//upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Gardenvale_Southbound_View.jpg/100px-Gardenvale_Southbound_View.jpg,['bus'],Sandringham,12.35,7.67,1,10 December 1906,Brighton,
74,Gardiner,//upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Gardiner_railway_station_-_Melbourne.jpg/100px-Gardiner_railway_station_-_Melbourne.jpg,['tram'],Glen Waverley,10.61,6.59,1,24 March 1890,Glen Iris,Rebuilt in 2016
75,Ginifer,//upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Ginifer_Railway_Station_%281_Nov_2021%29.jpg/100px-Ginifer_Railway_Station_%281_Nov_2021%29.jpg,['bus'],Sunbury,15.97,9.92,2,31 October 1982,St Albans,Rebuilt in 2016
76,Glen Huntly,//upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Glenhuntly_Northbound_View.jpg/100px-Glenhuntly_Northbound_View.jpg,['tram'],Frankston,13.46,8.36,1,19 December 1881,Glen Huntly,"Formerly:
Glen Huntly
Glen Huntly Road
Glenhuntly
Currently being rebuilt as part of the Level Crossing Removal Project"
77,Glen Iris,//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Glen_Iris_railway_station_-_close.jpg/100px-Glen_Iris_railway_station_-_close.jpg,"['tram', 'bus']",Glen Waverley,11.52,7.16,1,24 March 1890,Glen Iris,
